Class,Student
A&P,Samuel.Davis@YourSchool.onmicrosoft.com
A&P,Maria.Bell@YourSchool.onmicrosoft.com
A&P,Laura.Rivera@YourSchool.onmicrosoft.com
Adv Chemistry,Earl.Jackson@YourSchool.onmicrosoft.com
Adv Chemistry,Catherine.Ramirez@YourSchool.onmicrosoft.com
Adv Chemistry,Katherine.Ross@YourSchool.onmicrosoft.com
Adv Chemistry,Mark.Campbell@YourSchool.onmicrosoft.com
Adv Chemistry,Carl.Bailey@YourSchool.onmicrosoft.com
Chemistry,Paul.Coleman@YourSchool.onmicrosoft.com
Chemistry,Rachel.Hill@YourSchool.onmicrosoft.com
Chemistry,Aaron.Allen@YourSchool.onmicrosoft.com
Chemistry,Sandra.Thompson@YourSchool.onmicrosoft.com
Chemistry,Scott.Foster@YourSchool.onmicrosoft.com
Chemistry,Jennifer.Hernandez@YourSchool.onmicrosoft.com
Chemistry,Jean.Roberts@YourSchool.onmicrosoft.com
Chemistry,Keith.Lewis@YourSchool.onmicrosoft.com
Chemistry,Denise.Foster@YourSchool.onmicrosoft.com
Chemistry,Chris.Adams@YourSchool.onmicrosoft.com
Intro to College Algebra,Phyllis.Price@YourSchool.onmicrosoft.com
Intro to College Algebra,Christopher.Jenkins@YourSchool.onmicrosoft.com
Intro to College Algebra,Philip.Lee@YourSchool.onmicrosoft.com
Intro to College Algebra,Shawn.Thomas@YourSchool.onmicrosoft.com
Intro to College Algebra,Timothy.James@YourSchool.onmicrosoft.com
Intro to College Algebra,Victor.Lopez@YourSchool.onmicrosoft.com
Intro to College Algebra,Aaron.Allen@YourSchool.onmicrosoft.com
Intro to College Algebra,Sandra.Thompson@YourSchool.onmicrosoft.com
Intro to College Algebra,Scott.Foster@YourSchool.onmicrosoft.com
Intro to College Algebra,Jennifer.Hernandez@YourSchool.onmicrosoft.com
